"A03, T12, T07, T01, A09D, B03, B05D, A06, B07, P04, B11, A04, A08, T06, P08, P05, P12, P07, T03, B09, T11D, A02, B04, P03"
"B11, B05, A06, T06, P05, A03, B07, P07, P04D, B04, A08, A02, P03D, A04, T12, T07, P08, T03, T11, B03D, A09, P12, B09, T01"
"P04, P08, A03, T03, B04, B05, T01, P03, B07, P05, T11, P07, B11, B03, A09, B09D, T12, A06, A08D, P12, T07D, A04, A02, T06"
X
"P05, A06, P07D, P12, B03, A09, T12, B07, P08, T03, P03D, T07D, A03, A08, B09, P04, T06, A02, T11, T01, B04, B05, B11, A04"
"A06, T01, T03, T07, B07, T12, B11, P07, B03D, A09, B04, T06, A04, A08, A02, P05, T11, A03, B05, P12, P08, P04D, P03, B09D"
"P04, A08D, T03, A03, B05, B11, T12, B07, P03, A06, B09, T06, P08, P05, P07, T07, A02, A09D, B04, B03, A04, P12, T01, T11D"
X
"A06, P03, T06D, A03, B11, T11, T07, B05D, A02, P05, B04, P04, B09, T01, T12, B03, A09, A08D, B07, P08, P07, P12, T03, A04"
"P07, B03, T03, T11D, T06, P03, T01, P04D, A03, T12, A02, B07, B04, A06, B09D, P08, P12, P05, T07, A09, B05, A04, B11, A08"
"P03, T03, A08, B04, P08, A09, T06, B09, A03D, T11, B05, T12, B03D, B07, T07, B11, P04, T01, P07D, P05, P12, A04, A06, A02"
X
"T07, B04, B07, B05, T11, B09D, A02, A03, P04, P08, B03D, A04, B11, P12, T12, A08, P05, T06, P07, T01, A09D, T03, P03, A06"
"A08, T07, A09, T01, P08, A04, T06D, P05, B09, B03, B07, T12, T11, T03, B11, B04, P04, A02, P03, A06, B05D, P07D, P12, A03"
"A04, T03, T07, A03D, A06, B04, P03, B09, B07, T11D, P07, T01, A09, B03, P05, P04D, T06, B05, A08, P08, T12, P12, B11, A02"
X
"A02, A08D, B04, P08, T11, A04, T06, P12, A09, T12, B11, B03, P04, P03, T01, A03, T07, P05, B07, P07D, A06, T03, B09D, B05"
"A02, A04, B05D, A08, A06, A09D, T11, B04, P04, T06, T03, B03D, B11, P03, B07, A03, P12, P08, T01, T07, P07, T12, P05, B09"
"A02, B03, B09, P08, B07, A03D, B05, T06, B11, A04, B04, P05, P12, T03, A06, A09, P07, T11D, T12, P03D, P04, A08, T01, T07"
X
"P12, T03, P05, A03, B05, T11D, A09, A08, P07, B03D, T12, A06, A04, T07, B04, A02, T06, P08, B11, B07, P04, P03D, B09, T01"
"P03, P05, T03, B04, A04, T01, P12, A06, B03, A08, T06D, B11, T11, A03, P04D, B07, T12, P08, P07, A09, A02, B05, T07D, B09"
"A09, P12, A02, B09, P07, A06, A03D, A08D, B07, T06, P04, B04, P03, T01, T03, P05, B05D, T07, A04, T11, P08, T12, B11, B03"
X
"P12, B09, B04, A09, P08, B11, B05, P04D, P07, T12, T07, A02, P05, P03, T01, A03D, T03, B07, T11, B03D, A04, A06, T06, A08"
"P05, B07, P12, P08, T12, B11, P07, T03, T11, B05, A08D, A03, T01, B09, A09, A06, P04, B04, A04, A02, T06, P03D, B03, T07D"
"B04, P12, P05, A08, P04, B05, P07D, B11, T03, T07, T12, A06, A03, B03, T11D, A02, T01, P08, P03, T06, B07, A04, A09D, B09"
X
"P08, T07, T06, A08, B09, A06, B04, A03, B11, T12, B05, P03D, T01, P12, A09, T03, P04, P07, B07, A04, A02, P05, T11D, B03D"
"B11, T03, B07, T11, A03, A02, P03, P08, T07D, B05, B03, A04, T06, A06, A08, B04, T01, P05, P07, B09, T12, P04D, A09D, P12"
"T12, A03D, P04, P12, P03, P08, T07, T06, A06, B09D, A08, T01, A04, T11, A09, B04, B07, A02, B05, P07D, B03, T03, B11, P05"
X
"P04D, P08, B05, T01, A04, T11, A02, B04, P12, B09, A03D, P05, T12, B03D, A06, A08, T06, B07, P03, B11, P07, T07, A09, T03"
"B11, T01, B04, A04, A06, B07, T03, P08, A02, B03, A08D, P04, T07, P07, P12, A09, T11D, A03, P05, P03D, B05, B09, T12, T06"
"P07, T11, P05, P04, A03, T07D, T06, A04, B07, B09D, P03, B05, B11, P08, A09D, B04, B03, T03, T12, P12, A06, T01, A02, A08"
X
"A09, B05, P07D, T06, B07, P03D, A04, T07, A03D, A06, B03, P08, P05, T01, P04, B09, T11, B04, T12, A02, A08, T03, P12, B11"
"A03, T06, T03, T07, A06, P04D, P03, P05, T01, A02, T12, P12, A04, P08, A09, B07, B11, B05, B04, P07, T11, B09, B03D, A08D"
"B09, P04, A06, A09, B07, P12, P05, A08, T03, A04, A02, A03, B04, B05D, T11, T07D, T06D, T12, B03, P03, P08, P07, T01, B11"
X
