"P05, P03, A02, A04, B05, A08, B02, P04, T04, T06, T08, B12D, B01D, B08, P09, P06, A07, B07, A11, T12, T11, T01D, A10, P02"
"P02, T12D, B01, A08D, T09, A11, P05, T01, P11, B03, A12, T05, T02, P07, B07, B09, P01, P09D, A06, T04, A02, B06, A09, B12"
"A11, T01, P05, T10, T04D, B10, B07, P02D, T12, P10, B04, T03, P12, T07, A03, A08, A01, A05, B12, B01, A02D, P09, B11, P08"
X
"B05, A10, T06, B08, T08, P09D, B01, A02, P05, A08, B07D, A04, T12, P03, B02, P02, B12, A07, A11, T04D, P04, T11, T01, P06"
"B03, A12, A02D, A06, T01D, T12, T02, T04, B07, B09, P02, T09, P05, P09, B06, B12D, B01, A11, P07, T05, A08, A09, P11, P01"
"P05D, A02, T01, A05, P02, A08, A01, P10, T07, P08, T04, T03, P12, P09, B12, B10, B04, B01D, B11, A11, T12D, B07, T10, A03"
X
"T04, A02D, P04, T06, T08, A07, B08, P06, T12D, A04, P02D, B02, P09, B05, T01, A11, B12, T11, P05, B07, A10, P03, A08, B01"
"A06, A12, T04D, A09, A02, T09, B09, B12, P01, P05D, B03, T05, B01, P09, P07, B07D, T02, P11, P02, T12, T01, A11, A08, B06"
"A05, B11, P10, A01, B07, A08, B04, P02, P12, B12D, T04, T12, A03, B10, B01, T07, A02, P08, T01D, P05, A11, T03, T10, P09D"
X
"P03, T12, T06, B05, B12, P02D, A02, B08, P06, T01, B01, A07, A04, B02, A11, A10, P04, B07, P09D, T04D, A08, T08, P05, T11"
"P01, T04, B07, P02, B12, A12, P05, B01, A09, A02D, P09, T09, P07, A06, P11, T01, B06, B09, T05, T12, T02, A11D, B03, A08D"
"P05D, P08, B11, T03, B04, T04, T10, B07, A02, A08, T07, P12, A01, T12, A05, P09, B10, P10, P02, T01D, B01, A03, B12D, A11"
X
"B08, T01D, T12, A11, P09, B02, T11, A07, P03, A02, T06, P05, B01D, P02, A10, T04, B12, P06, A04, B05, T08, P04, B07D, A08"
"P01, B07, P11, B06, T02, B01, A12, B12, B03, P09D, A06, B09, A02, A11D, T04, P07, T05, A08, T12D, P02, T01, P05, A09, T09"
"P12, P08, B10, A05, A01, T12, P09, A02, B12, A11, P05D, T01, T10, B01, T07, B11, P10, P02, A03, A08D, B07, B04, T03, T04D"
X
"A11, T11, B08, T04, T01D, T06, A07, T12D, B01, T08, P05, A10, B12D, B05, A02, P04, P06, P09, P02, A04, B02, B07, P03, A08"
"P02, B09, A12, A06, P09, T12, B12, B03, A11, B06, T01, P07, P11, A09, A08, P01, T05, B01, B07D, T09, T04, T02, A02D, P05D"
"A05, A08, B04, A03, T03, B12, T01, P10, T07, P08, B01, P09D, A02, P12, A01, T04D, B07, P02, T12, T10, P05, B11, B10, A11D"
X
"B02, B01D, B08, A08D, A07, B07, T04, P06, A10, T12, B05, P09, A11, P05, A02, B12D, A04, T06, P03, T08, T11, T01, P04, P02"
"T04, A02D, T02, P09, P01, A11, T12D, A08, A12, B03, T01, A09, B07D, P07, B06, T09, P11, P05, B01, T05, A06, P02, B12, B09"
"A01, T12, P12, T04, P09D, A02, P10, P02D, T10, B01, B07, P08, A11, B10, B04, A08, T07, A03, A05, T03, P05, T01D, B12, B11"
X
"T04, P09, A02D, B05, B07, P05, A11, P02D, T11, P06, B08, B12D, P03, P04, T12, B01, A07, A10, T08, B02, T01, A08, A04, T06"
"P01, P07, A12, A08D, T05, B03, T12, A02, B07, B09, P11, A06, B06, P09, B12, T02, A09, A11, T01, T09, B01D, P05D, P02, T04"
"A02, T04D, P05, B04, A01, T03, B10, P10, T12D, T10, T01D, P09, T07, A03, A05, P12, B07, A11, A08, B11, B01, P08, B12, P02"
X
"A11, B12, P02, T06, P05D, B02, P03, B05, T01, T04, B01, A04, A07, B07D, A02, T08, B08, P09, P06, T12D, P04, A10, T11, A08"
"T09, T04D, A12, A06, B06, P02, B01, T12, A02, P07, A09, T01, A08, P11, T02, B07, B09, A11D, B12D, T05, P05, P01, P09, B03"
"T07, P12, P10, A02D, B07, P02D, B11, A11, P09, P08, T01, P05, A03, A08D, B12, T12, B04, T04, B01, A01, A05, T03, B10, T10"
X
"P06, B12D, A04, P05, A07, A08, T06, P03, A11, T11, B08, B07, P02, P04, B02, T01, T12, T04D, B01D, B05, A10, T08, P09, A02"
"P05, P01, P09, A09, T09, B07D, P02, T01, B12, A06, A11D, T04, B03, A08, A12, T12, B01, T02, T05, P11, P07, A02D, B09, B06"
"B11, B04, A05, T01D, A03, T03, T10, P08, B01, T12, A01, T07, A08, A02, P02D, P05D, B12, A11, T04, P09, B10, B07, P10, P12"
X
